"","Date","Discharge_cfs","Phosphorus_mg.L","Year","Month","DOY"
"120",2003-03-26,70,0.067,2003,3,85
"121",2003-05-27,146,0.151,2003,5,147
"122",2003-06-11,265,0.174,2003,6,162
"123",2003-07-17,36,0.081,2003,7,198
"124",2003-08-20,8.4,0.045,2003,8,232
"125",2003-10-07,15,0.059,2003,10,280
"126",2004-03-10,400,0.102,2004,3,70
"127",2004-05-12,810,0.2,2004,5,133
"128",2004-06-09,614,0.119,2004,6,161
"129",2004-07-14,139,0.133,2004,7,196
"130",2004-08-26,16,0.056,2004,8,239
"131",2004-10-28,58,0.044,2004,10,302
"132",2005-02-28,353,0.064,2005,2,59
"133",2005-05-31,2950,0.172,2005,5,151
"134",2005-06-30,1690,0.143,2005,6,181
"135",2005-08-01,263,0.07,2005,8,213
"136",2005-08-30,42,0.112,2005,8,242
"137",2005-10-25,191,0.076,2005,10,298
"138",2006-02-27,364,0.123,2006,2,58
"139",2006-06-01,208,0.117,2006,6,152
"140",2006-07-07,170,0.145,2006,7,188
"141",2006-07-31,99,0.149,2006,7,212
"142",2006-08-30,348,0.151,2006,8,242
"143",2006-11-07,829,0.078,2006,11,311
"144",2007-03-05,425,0.11,2007,3,64
"145",2007-06-07,522,0.147,2007,6,158
"146",2007-07-24,323,0.178,2007,7,205
"147",2007-08-28,239,0.138,2007,8,240
"148",2007-09-26,328,0.146,2007,9,269
"149",2007-10-25,201,0.095,2007,10,298
"150",2008-03-18,540,0.137,2008,3,78
"151",2008-05-12,1440,0.192,2008,5,133
"152",2008-06-12,1330,0.154,2008,6,164
"153",2008-07-09,844,0.131,2008,7,191
"154",2008-08-12,211,0.161,2008,8,225
"155",2008-10-21,81,0.042,2008,10,295
"156",2009-03-10,454,0.134,2009,3,69
"157",2009-05-06,1380,0.215,2009,5,126
"158",2009-06-17,536,0.1,2009,6,168
"159",2009-07-15,167,0.129,2009,7,196
"160",2009-08-17,42,0.102,2009,8,229
"161",2009-10-14,78,0.041,2009,10,287
"162",2010-03-03,325,0.079,2010,3,62
"163",2010-05-20,529,0.123,2010,5,140
"164",2010-06-10,844,0.15,2010,6,161
"165",2010-07-20,44,0.111,2010,7,201
"166",2010-09-02,30,0.075,2010,9,245
"167",2011-03-03,345,0.071,2011,3,62
"168",2011-05-10,327,0.26,2011,5,130
"169",2011-06-16,419,0.202,2011,6,167
"170",2011-07-20,270,0.148,2011,7,201
"171",2011-08-18,98,0.107,2011,8,230
"172",2011-10-13,173,0.059,2011,10,286
"173",2012-03-05,325,0.099,2012,3,65
"174",2012-05-30,147,0.104,2012,5,151
"175",2012-07-18,46,0.09,2012,7,200
"176",2012-08-27,23,0.049,2012,8,240
"177",2012-09-28,50,0.061,2012,9,272
"178",2012-10-16,40,0.042,2012,10,290
"179",2013-03-05,240,0.035,2013,3,64
"180",2013-05-28,75,0.094,2013,5,148
"181",2013-06-24,23,0.055,2013,6,175
"182",2013-07-31,33,0.101,2013,7,212
"183",2013-08-27,33,0.082,2013,8,239
"184",2013-10-29,101,0.07,2013,10,302
"185",2014-02-27,449,0.08,2014,2,58
"186",2014-04-24,278,0.14,2014,4,114
"187",2014-07-29,239,0.147,2014,7,210
"188",2014-08-19,179,0.138,2014,8,231
"189",2014-09-29,92,0.111,2014,9,272
"190",2014-10-31,267,0.075,2014,10,304
"191",2015-02-19,370,0.093,2015,2,50
"192",2015-04-02,1020,0.19,2015,4,92
"193",2015-06-11,433,0.14,2015,6,162
"194",2015-07-27,433,0.136,2015,7,208
"195",2015-09-24,87,0.123,2015,9,267
"196",2015-10-29,75,0.048,2015,10,302
"197",2016-02-17,380,0.084,2016,2,48
"198",2016-05-24,1130,0.206,2016,5,145
"199",2016-06-29,685,0.123,2016,6,181
"200",2016-07-27,99,0.146,2016,7,209
"201",2016-08-31,30,0.101,2016,8,244
"202",2016-10-27,64,0.038,2016,10,301
"203",2017-03-10,438,0.116,2017,3,69
"204",2017-05-30,1560,0.144,2017,5,150
"205",2017-06-23,861,0.123,2017,6,174
"206",2017-07-12,182,0.109,2017,7,193
"207",2017-08-25,124,0.09,2017,8,237
"208",2017-10-25,133,0.042,2017,10,298
"209",2018-03-28,243,0.119,2018,3,87
"210",2018-05-31,96,0.165,2018,5,151
"211",2018-06-29,22,0.08,2018,6,180
"212",2018-07-26,15,0.083,2018,7,207
"213",2018-08-27,10,0.084,2018,8,239
"214",2018-10-30,21,0.052,2018,10,303
"215",2019-03-19,362,0.087,2019,3,78
"216",2019-05-21,1890,0.171,2019,5,141
"217",2019-07-01,3000,0.188,2019,7,182
"218",2019-08-19,827,0.121,2019,8,231
"219",2019-10-09,147,0.052,2019,10,282
"220",2020-03-11,384,0.089,2020,3,71
"221",2020-05-27,154,0.134,2020,5,148
"222",2020-06-18,104,0.116,2020,6,170
"223",2020-07-30,60,0.089,2020,7,212
"224",2020-08-13,14,0.046,2020,8,226
"225",2020-10-13,12,0.018,2020,10,287
"226",2021-05-25,533,0.129,2021,5,145
"227",2021-06-28,255,0.096,2021,6,179
"228",2021-07-20,125,0.097,2021,7,201
"229",2021-08-16,102,0.099,2021,8,228
