"","Date","Year","Month","DOY","Variable","Value"
"81",1983-05-01,1983,5,121,"Discharge_cfs",4840
"82",1983-05-01,1983,5,121,"SuspendedSedimentConcentration_mg.L",1020
"83",1983-05-15,1983,5,135,"Discharge_cfs",5370
"84",1983-05-15,1983,5,135,"SuspendedSedimentConcentration_mg.L",835
"85",1983-06-01,1983,6,152,"Discharge_cfs",8200
"86",1983-06-01,1983,6,152,"SuspendedSedimentConcentration_mg.L",1010
"87",1983-06-02,1983,6,153,"Discharge_cfs",8450
"88",1983-06-02,1983,6,153,"SuspendedSedimentConcentration_mg.L",1030
"89",1983-06-07,1983,6,158,"Discharge_cfs",5670
"90",1983-06-07,1983,6,158,"SuspendedSedimentConcentration_mg.L",1070
"91",1983-06-15,1983,6,166,"Discharge_cfs",6230
"92",1983-06-15,1983,6,166,"SuspendedSedimentConcentration_mg.L",643
"93",1983-07-01,1983,7,182,"Discharge_cfs",6180
"94",1983-07-01,1983,7,182,"SuspendedSedimentConcentration_mg.L",337
"95",1983-07-11,1983,7,192,"Discharge_cfs",4140
"96",1983-07-11,1983,7,192,"SuspendedSedimentConcentration_mg.L",13900
"97",1983-07-15,1983,7,196,"Discharge_cfs",3840
"98",1983-07-15,1983,7,196,"SuspendedSedimentConcentration_mg.L",368
"99",1983-08-01,1983,8,213,"Discharge_cfs",961
"100",1983-08-01,1983,8,213,"SuspendedSedimentConcentration_mg.L",128
"101",1983-08-03,1983,8,215,"Discharge_cfs",1540
"102",1983-08-03,1983,8,215,"SuspendedSedimentConcentration_mg.L",6070
"103",1983-08-15,1983,8,227,"Discharge_cfs",866
"104",1983-08-15,1983,8,227,"SuspendedSedimentConcentration_mg.L",327
"105",1983-09-01,1983,9,244,"Discharge_cfs",938
"106",1983-09-01,1983,9,244,"SuspendedSedimentConcentration_mg.L",500
"107",1983-10-03,1983,10,276,"Discharge_cfs",763
"108",1983-10-03,1983,10,276,"SuspendedSedimentConcentration_mg.L",539
"109",1983-12-01,1983,12,335,"Discharge_cfs",940
"110",1983-12-01,1983,12,335,"SuspendedSedimentConcentration_mg.L",163
"111",1984-02-01,1984,2,32,"Discharge_cfs",682
"112",1984-02-01,1984,2,32,"SuspendedSedimentConcentration_mg.L",26
"113",1984-04-12,1984,4,103,"Discharge_cfs",2610
"114",1984-04-12,1984,4,103,"SuspendedSedimentConcentration_mg.L",1670
"115",1984-05-01,1984,5,122,"Discharge_cfs",3080
"116",1984-05-01,1984,5,122,"SuspendedSedimentConcentration_mg.L",1270
"117",1984-05-25,1984,5,146,"Discharge_cfs",8990
"118",1984-05-25,1984,5,146,"SuspendedSedimentConcentration_mg.L",1060
"119",1984-07-02,1984,7,184,"Discharge_cfs",3460
"120",1984-07-02,1984,7,184,"SuspendedSedimentConcentration_mg.L",950
"121",1984-07-19,1984,7,201,"Discharge_cfs",1020
"122",1984-07-19,1984,7,201,"SuspendedSedimentConcentration_mg.L",14600
"123",1984-08-01,1984,8,214,"Discharge_cfs",934
"124",1984-08-01,1984,8,214,"SuspendedSedimentConcentration_mg.L",2640
"125",1984-08-13,1984,8,226,"Discharge_cfs",507
"126",1984-08-13,1984,8,226,"SuspendedSedimentConcentration_mg.L",10100
"127",1984-08-16,1984,8,229,"Discharge_cfs",554
"128",1984-08-16,1984,8,229,"SuspendedSedimentConcentration_mg.L",2230
"129",1984-08-20,1984,8,233,"Discharge_cfs",694
"130",1984-08-20,1984,8,233,"SuspendedSedimentConcentration_mg.L",5320
"131",1984-08-30,1984,8,243,"Discharge_cfs",1630
"132",1984-08-30,1984,8,243,"SuspendedSedimentConcentration_mg.L",5690
"133",1984-09-19,1984,9,263,"Discharge_cfs",541
"134",1984-09-19,1984,9,263,"SuspendedSedimentConcentration_mg.L",1200
