"","DOY","median_Flow_cfs","p25_Flow_cfs","p75_Flow_cfs"
"223",223,920,763.5,1130
"224",224,1009,792,1207.5
"225",225,983,765.5,1220
"226",226,879,703.25,1013
"227",227,866,817,1185
"228",228,876,846,1082.5
"229",229,833,794,880
"230",230,826,797.5,920.5
"231",231,815,687.5,888.5
"232",232,869,750,931
"233",233,845,726,959
"234",234,886,815.5,985.75
"235",235,931,828,1090
"236",236,951,837,1260
"237",237,900,722.5,1120
"238",238,797,692,995.5
"239",239,821,735.5,1050
"240",240,838,743,891.5
"241",241,820,661,922
"242",242,819,652.5,952
"243",243,865,715.25,999.5
"244",244,892,811,938
"245",245,827.5,754,853.75
"246",246,771,733,832
"247",247,743,553.5,852.5
"248",248,818.5,663.75,942.75
"249",249,891.5,572.5,935.75
"250",250,798,565.5,841.75
"251",251,821,486,872
"252",252,801,497,863
"253",253,816,588.5,915.5
"254",254,771.5,588.5,883.75
"255",255,797,589.25,936.5
"256",256,869.5,646.25,973.5
"257",257,718,569.5,937
"258",258,833,564,951
"259",259,836,648.5,923
"260",260,706,578,780
"261",261,677.5,506.5,720.25
"262",262,698,531,767.5
"263",263,687,545,781.5
"264",264,699,499,938.5
"265",265,694,589,982
"266",266,642,587,741
"267",267,588.5,525.75,768.75
"268",268,502,437.5,653
"269",269,522,493.5,758
"270",270,518,480,741.5
"271",271,544,518.5,708.5
"272",272,557,500,682
"273",273,538,488,591
"274",274,551.5,488,687.5
"275",275,586.5,474,697.5
"276",276,604,475,764.5
"277",277,620.5,490.25,947.75
"278",278,574.5,497.75,867.75
"279",279,556,480.5,844.5
"280",280,569,506,645
"281",281,572.5,510.5,788.25
"282",282,612,536,826
"283",283,576,516.75,813.25
"284",284,668,529,982.5
"285",285,586,508.5,932.5
"286",286,617,500,1060
"287",287,531,512,816
"288",288,553.5,490.5,868.25
"289",289,555,475,837
"290",290,564,460,831
"291",291,512.5,457,835.25
"292",292,569,472,823
"293",293,553,471,800.5
"294",294,784.5,472.25,950.75
"295",295,674,475.75,860.75
"296",296,525,458.5,683
"297",297,571,507,745.75
"298",298,572.5,495.25,729
"299",299,647.5,547.25,707.25
"300",300,602,474.25,655
"301",301,561.5,474.5,637.75
"302",302,525,430,625
"303",303,585,493,667
"304",304,560.5,502.75,652.25
"305",305,609,493.5,841
"306",306,523,464,666
"307",307,512,414,640
"308",308,556.5,470.75,653
"309",309,533,416.25,737
"310",310,580,375.5,896.5
"311",311,658,472,867
"312",312,800.5,492.5,883.5
"313",313,791,547.25,895.5
"314",314,861,700,1052.5
"315",315,829,631,1210
"316",316,820,667,1058
"317",317,693,458,889
"318",318,786,648,935
"319",319,753.5,489,981.5
"320",320,802,649,901
"321",321,781.5,641.75,1105
"322",322,827.5,598,1095
"323",323,778,642,1410
"324",324,730,627,1240
"325",325,870,700,1480
"326",326,869,734.75,1311.25
"327",327,978,756.5,1462.5
"328",328,950.5,780.5,1465
"329",329,863,660.75,1110
"330",330,927,822,1460
"331",331,939.5,845.25,1390
"332",332,918,732,1285
"333",333,916,909,1510
"334",334,884.5,765,1452.5
"335",335,940,855,1380
"336",336,835,596.75,1104.5
"337",337,914,755,1110
"338",338,887,761,1010
"339",339,1260,960.25,1475
"340",340,938,714,1360
"341",341,1105,799.25,1410
"342",342,778,719.5,1280
"343",343,1002,780.25,1377.5
"344",344,782,720,940.5
"345",345,793,711,1120
"346",346,787.5,667.25,1281.25
"347",347,720,682.5,1112
"348",348,995.5,808.75,1357.5
"349",349,903,692,1215
"350",350,972,655,1210
"351",351,1250,930,1260
"352",352,995,675,1230
"353",353,830.5,561,1142.5
"354",354,788,529.25,1097.5
"355",355,821,592.75,1191
"356",356,801.5,629.75,939.5
"357",357,739.5,697.5,820.5
"358",358,733,621,762
"359",359,725,638,736.5
"360",360,708,640,723.5
"361",361,711,644.5,713.5
"362",362,682.5,644.75,713
"363",363,664,652.25,685
"364",364,674,647.5,691
"365",365,665,623.5,688.5
